source,slug,normalized_key,proposed_domain,domain_reason,multifile,relpath,winner,tier
community,culture-architect,culture-architect,change-org-management,rule:community-path,yes,change-org-management/community/culture-architect,WIN,通用
community,org-health-diagnostic,org-health-diagnostic,change-org-management,rule:community-path,yes,change-org-management/community/org-health-diagnostic,WIN,通用
codex,chaos-engineering,chaos,cloud-infra,kw:chaos,no,chaos-engineering,WIN,通用
codex,cloudflare-deploy,cloudflare-deploy,cloud-infra,kw:deploy,yes,cloudflare-deploy,WIN,半通用
codex,render-background-workers,render-background-workers,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-background-workers,WIN,半通用
codex,render-blueprints,render-blueprints,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-blueprints,WIN,半通用
codex,render-cli,render-cli,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-cli,WIN,半通用
codex,render-cron-jobs,render-cron-jobs,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-cron-jobs,WIN,半通用
codex,render-debug,render-debug,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-debug,WIN,半通用
codex,render-disks,render-disks,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-disks,WIN,半通用
codex,render-docker,render-docker,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-docker,WIN,半通用
codex,render-domains,render-domains,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-domains,WIN,半通用
codex,render-env-vars,render-env-vars,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-env-vars,WIN,半通用
codex,render-keyvalue,render-keyvalue,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-keyvalue,WIN,半通用
codex,render-mcp,render-mcp,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-mcp,WIN,半通用
codex,render-migrate-from-heroku,render-migrate-from-heroku,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-migrate-from-heroku,WIN,半通用
codex,render-monitor,render-monitor,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-monitor,WIN,半通用
codex,render-networking,render-networking,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-networking,WIN,半通用
codex,render-postgres,render-postgres,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-postgres,WIN,半通用
codex,render-private-services,render-private-services,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-private-services,WIN,半通用
codex,render-scaling,render-scaling,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-scaling,WIN,半通用
codex,render-static-sites,render-static-sites,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-static-sites,WIN,半通用
codex,render-web-services,render-web-services,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-web-services,WIN,半通用
codex,render-workflows,render-workflows,cloud-infra,rule:openai-plugins,yes,cloud-infra/codex/render-workflows,WIN,半通用
codex,disaster-recovery,disaster-recovery,cloud-infra,kw:disaster,no,disaster-recovery,WIN,通用
codex,docker-k8s,docker-k8s,cloud-infra,kw:docker,no,docker-k8s,WIN,通用
codex,edge-computing,edge-computing,cloud-infra,kw:edge-comput,no,edge-computing,WIN,通用
codex,finops,finops,cloud-infra,kw:finops,no,finops,WIN,通用
codex,monitoring-observability,monitoring-observability,cloud-infra,kw:monitoring,no,monitoring-observability,WIN,通用
codex,netlify-deploy,netlify-deploy,cloud-infra,kw:deploy,yes,netlify-deploy,WIN,半通用
codex,render-deploy,render-deploy,cloud-infra,kw:deploy,yes,render-deploy,WIN,半通用
codex,sre-practices,sre-practices,cloud-infra,kw:sre,no,sre-practices,WIN,通用
codex,vercel-deploy,vercel-deploy,cloud-infra,kw:deploy,yes,vercel-deploy,WIN,半通用
cskills,cloud-native,cloud-native,cloud-infra,rule:csk-readme,no,cloud-native,WIN,通用
cskills,finops,finops,cloud-infra,rule:csk-readme,no,finops,dup,
cskills,k8sops,k8sops,cloud-infra,rule:csk-readme,no,k8sops,WIN,通用
cskills,platform-engineering,platform,cloud-infra,rule:csk-readme,no,platform-engineering,WIN,通用
cskills,release-engineering,release,cloud-infra,rule:csk-readme,no,release-engineering,WIN,通用
cskills,terraform,terraform,cloud-infra,rule:csk-readme,no,terraform,WIN,通用
cskills,terraform-iac,terraform-iac,cloud-infra,rule:csk-readme,no,terraform-iac,WIN,通用
community,channel-economics,channel-economics,commercial-strategy,rule:community-path,yes,commercial-strategy/community/channel-economics,WIN,通用
community,commercial-forecaster,commercial-forecaster,commercial-strategy,rule:community-path,yes,commercial-strategy/community/commercial-forecaster,WIN,通用
community,commercial-policy,commercial-policy,commercial-strategy,rule:community-path,yes,commercial-strategy/community/commercial-policy,WIN,通用
community,deal-desk,deal-desk,commercial-strategy,rule:community-path,yes,commercial-strategy/community/deal-desk,WIN,通用
community,partnerships-architect,partnerships-architect,commercial-strategy,rule:community-path,yes,commercial-strategy/community/partnerships-architect,WIN,通用
community,pricing-strategist,pricing-strategist,commercial-strategy,rule:community-path,yes,commercial-strategy/community/pricing-strategist,WIN,通用
community,rfp-responder,rfp-responder,commercial-strategy,rule:community-path,yes,commercial-strategy/community/rfp-responder,WIN,通用
community,compliance-readiness,compliance-readiness,compliance-programs,rule:community-path,yes,compliance-programs/community/compliance-readiness,WIN,通用
codex,doc-office,doc-office,content-authoring,kw:doc-office,no,doc-office,WIN,通用
codex,jupyter-notebook,jupyter-notebook,content-authoring,kw:jupyter,yes,jupyter-notebook,WIN,通用
codex,notion-knowledge-capture,notion-knowledge-capture,content-authoring,kw:notion,yes,notion-knowledge-capture,WIN,半通用
codex,notion-meeting-intelligence,notion-meeting-intelligence,content-authoring,kw:notion,yes,notion-meeting-intelligence,WIN,半通用
codex,notion-research-documentation,notion-research-documentation,content-authoring,kw:document,yes,notion-research-documentation,WIN,半通用
codex,notion-spec-to-implementation,notion-spec-to-implementation,content-authoring,kw:notion,yes,notion-spec-to-implementation,WIN,半通用
codex,office-doc-tools,coff0xc-office-doc-tools,content-authoring,exact,yes,coff0xc-office-doc-tools,WIN,通用
codex,pdf,pdf,content-authoring,kw:pdf,yes,pdf,WIN,通用
codex,quick-translate,quick-translate,content-authoring,kw:translate,no,quick-translate,WIN,通用
codex,research-drawio-diagram,coff0xc-research-drawio-diagram,content-authoring,exact,yes,coff0xc-research-drawio-diagram,WIN,通用
codex,research-paper-writing,research-paper-writing,content-authoring,kw:research-paper,no,research-paper-writing,WIN,通用
codex,technical-writing,technical-writing,content-authoring,kw:technical-writing,no,technical-writing,WIN,通用
cskills,document-authoring,document-authoring,content-authoring,rule:csk-readme,no,document-authoring,WIN,通用
cskills,presentation-authoring,presentation-authoring,content-authoring,rule:csk-readme,no,presentation-authoring,WIN,通用
community,content-creator,content-creator,content-strategy,rule:community-path,yes,content-strategy/community/content-creator,WIN,通用
community,content-production,content-production,content-strategy,rule:community-path,yes,content-strategy/community/content-production,WIN,通用
community,content-strategy,content-strategy,content-strategy,rule:community-path,yes,content-strategy/community/content-strategy,WIN,通用
community,form-cro,form-cro,conversion-optimization,rule:community-path,yes,conversion-optimization/community/form-cro,WIN,通用
community,onboarding-cro,onboarding-cro,conversion-optimization,rule:community-path,yes,conversion-optimization/community/onboarding-cro,WIN,通用
community,page-cro,page-cro,conversion-optimization,rule:community-path,yes,conversion-optimization/community/page-cro,WIN,通用
community,paywall-upgrade-cro,paywall-upgrade-cro,conversion-optimization,rule:community-path,yes,conversion-optimization/community/paywall-upgrade-cro,WIN,通用
community,popup-cro,popup-cro,conversion-optimization,rule:community-path,yes,conversion-optimization/community/popup-cro,WIN,通用
community,signup-flow-cro,signup-flow-cro,conversion-optimization,rule:community-path,yes,conversion-optimization/community/signup-flow-cro,WIN,通用
community,content-humanizer,content-humanizer,copywriting-editing,rule:community-path,yes,copywriting-editing/community/content-humanizer,WIN,通用
community,copy-editing,copy-editing,copywriting-editing,rule:community-path,yes,copywriting-editing/community/copy-editing,WIN,通用
community,copywriting,copywriting,copywriting-editing,rule:community-path,yes,copywriting-editing/community/copywriting,WIN,通用
community,customer-success-manager,customer-success-manager,customer-success,rule:community-path,yes,customer-success/community/customer-success-manager,WIN,通用
codex,data-engineering,data,data-analysis,kw:data-eng,no,data-engineering,WIN,通用
codex,data-visualization,data-visualization,data-analysis,kw:data-visual,no,data-visualization,WIN,通用
codex,database,database,data-analysis,kw:database,no,database,WIN,通用
codex,db-design,anna-db-design,data-analysis,exact,no,anna-db-design,WIN,通用
codex,sql-optimization,sql-optimization,data-analysis,kw:sql,no,sql-optimization,WIN,通用
codex,airtable-filters,airtable-filters,data-analysis,rule:openai-plugins,yes,data-analysis/codex/airtable-filters,WIN,半通用
codex,airtable-overview,airtable-overview,data-analysis,rule:openai-plugins,yes,data-analysis/codex/airtable-overview,WIN,半通用
cskills,data-engineering,data,data-analysis,rule:csk-readme,no,data-engineering,dup,
cskills,database-engineering,database,data-analysis,rule:csk-readme,no,database-engineering,dup,
cskills,spreadsheet-analysis,spreadsheet-analysis,data-analysis,rule:csk-readme,no,spreadsheet-analysis,WIN,通用
ours,validation-schema,validation-schema,data-analysis,rule:ours-path,no,data-analysis/ours/validation-schema,WIN,通用
community,cold-email,cold-email,email-marketing,rule:community-path,yes,email-marketing/community/cold-email,WIN,通用
community,email-sequence,email-sequence,email-marketing,rule:community-path,yes,email-marketing/community/email-sequence,WIN,通用
community,inbox-setup,inbox-setup,email-productivity,rule:community-path,yes,email-productivity/community/inbox-setup,WIN,通用
community,inbox-triage,inbox-triage,email-productivity,rule:community-path,yes,email-productivity/community/inbox-triage,WIN,通用
codex,domains,domains,engineering-core,exact,yes,domains,WIN,通用
codex,perf-engineering,anna-perf,engineering-core,exact,no,anna-perf-engineering,WIN,通用
codex,shell-scripting,shell-scripting,engineering-core,kw:shell-scripting,no,shell-scripting,WIN,通用
codex,shell-scripting-2,anna-shell-scripting,engineering-core,kw:shell-scripting,no,anna-shell-scripting,WIN,通用
codex,software-engineering,coff0xc-software,engineering-core,exact,yes,coff0xc-software-engineering,WIN,通用
codex,system-design,system-design,engineering-core,exact,no,system-design,WIN,通用
cskills,ponytail,ponytail,engineering-core,rule:csk-readme,no,ponytail,WIN,通用
ours,api-versioning,api-versioning,engineering-core,rule:ours-path,no,engineering-core/ours/api-versioning,WIN,通用
ours,concurrency-patterns,concurrency-patterns,engineering-core,rule:ours-path,no,engineering-core/ours/concurrency-patterns,WIN,通用
ours,datetime-timezones,datetime-timezones,engineering-core,rule:ours-path,no,engineering-core/ours/datetime-timezones,WIN,通用
ours,dependency-injection,dependency-injection,engineering-core,rule:ours-path,no,engineering-core/ours/dependency-injection,WIN,通用
