source,slug,normalized_key,proposed_domain,domain_reason,multifile,relpath,winner,tier
codex,expo-deployment,expo-deployment,mobile-crossplatform,rule:openai-plugins,yes,mobile-crossplatform/codex/expo-deployment,WIN,半通用
codex,expo-dev-client,expo-dev-client,mobile-crossplatform,rule:openai-plugins,yes,mobile-crossplatform/codex/expo-dev-client,WIN,半通用
codex,expo-module,expo-module,mobile-crossplatform,rule:openai-plugins,yes,mobile-crossplatform/codex/expo-module,WIN,半通用
codex,expo-tailwind-setup,expo-tailwind-setup,mobile-crossplatform,rule:openai-plugins,yes,mobile-crossplatform/codex/expo-tailwind-setup,WIN,半通用
codex,native-data-fetching,native-data-fetching,mobile-crossplatform,rule:openai-plugins,yes,mobile-crossplatform/codex/native-data-fetching,WIN,半通用
codex,upgrading-expo,upgrading-expo,mobile-crossplatform,rule:openai-plugins,yes,mobile-crossplatform/codex/upgrading-expo,WIN,半通用
codex,use-dom,use-dom,mobile-crossplatform,rule:openai-plugins,yes,mobile-crossplatform/codex/use-dom,WIN,半通用
codex,flutter-dart-dev,flutter-dart,mobile-crossplatform,kw:flutter,no,flutter-dart-dev,WIN,通用
codex,flutter-development,anna-flutter,mobile-crossplatform,kw:flutter,no,anna-flutter-development,WIN,通用
codex,kotlin-android-dev,kotlin-android,mobile-crossplatform,kw:android,no,kotlin-android-dev,WIN,通用
codex,react-native-dev,react-native,mobile-crossplatform,kw:react-native,no,react-native-dev,WIN,通用
codex,swift-ios-dev,swift-ios,mobile-crossplatform,kw:ios,no,swift-ios-dev,WIN,通用
codex,uniapp-dev,anna-uniapp,mobile-crossplatform,kw:uniapp,no,anna-uniapp-dev,WIN,通用
cskills,alipay-miniprogram,alipay-miniprogram,mobile-crossplatform,rule:csk-readme,no,alipay-miniprogram,WIN,半通用
cskills,android-development,android,mobile-crossplatform,rule:csk-readme,no,android-development,WIN,通用
cskills,apple-development,apple,mobile-crossplatform,rule:csk-readme,no,apple-development,WIN,通用
cskills,douyin-miniprogram,douyin-miniprogram,mobile-crossplatform,rule:csk-readme,no,douyin-miniprogram,WIN,半通用
cskills,electron-development,electron,mobile-crossplatform,rule:csk-readme,no,electron-development,WIN,通用
cskills,flutter-development,flutter,mobile-crossplatform,rule:csk-readme,no,flutter-development,WIN,通用
cskills,harmonyos-arkts,harmonyos-arkts,mobile-crossplatform,rule:csk-readme,no,harmonyos-arkts,WIN,半通用
cskills,harmonyos-arkui,harmonyos-arkui,mobile-crossplatform,rule:csk-readme,no,harmonyos-arkui,WIN,半通用
cskills,tauri-development,tauri,mobile-crossplatform,rule:csk-readme,no,tauri-development,WIN,通用
cskills,uniapp-development,uniapp,mobile-crossplatform,rule:csk-readme,no,uniapp-development,WIN,通用
cskills,wechat-miniprogram,wechat-miniprogram,mobile-crossplatform,rule:csk-readme,no,wechat-miniprogram,WIN,半通用
community,ad-creative,ad-creative,paid-acquisition,rule:community-path,yes,paid-acquisition/community/ad-creative,WIN,通用
community,marketing-demand-acquisition,marketing-demand-acquisition,paid-acquisition,rule:community-path,yes,paid-acquisition/community/marketing-demand-acquisition,WIN,通用
community,paid-ads,paid-ads,paid-acquisition,rule:community-path,yes,paid-acquisition/community/paid-ads,WIN,通用
community,patent,patent,patent-intelligence,rule:community-path,yes,patent-intelligence/community/patent,WIN,通用
codex,payment-fintech,payment-fintech,payments-commerce,kw:pay,no,payment-fintech,WIN,半通用
cskills,adyen,adyen,payments-commerce,rule:csk-readme,no,adyen,WIN,半通用
cskills,alipay-pay,alipay-pay,payments-commerce,rule:csk-readme,no,alipay-pay,WIN,半通用
cskills,apple-pay,apple-pay,payments-commerce,rule:csk-readme,no,apple-pay,WIN,半通用
cskills,checkout-com,checkout-com,payments-commerce,rule:csk-readme,no,checkout-com,WIN,半通用
cskills,google-pay,google-pay,payments-commerce,rule:csk-readme,no,google-pay,WIN,半通用
cskills,paypal,paypal,payments-commerce,rule:csk-readme,no,paypal,WIN,半通用
cskills,square,square,payments-commerce,rule:csk-readme,no,square,WIN,半通用
cskills,stripe,stripe,payments-commerce,rule:csk-readme,no,stripe,WIN,半通用
cskills,wallet-engineering,wallet,payments-commerce,rule:csk-readme,no,wallet-engineering,WIN,半通用
cskills,wallet-pass,wallet-pass,payments-commerce,rule:csk-readme,no,wallet-pass,WIN,半通用
cskills,wechat-pay,wechat-pay,payments-commerce,rule:csk-readme,no,wechat-pay,WIN,半通用
community,capture,capture,personal-productivity,rule:community-path,yes,personal-productivity/community/capture,WIN,通用
community,reflect,reflect,personal-productivity,rule:community-path,yes,personal-productivity/community/reflect,WIN,通用
community,gdpr-audit-prep,gdpr-audit-prep,privacy-compliance,rule:community-path,yes,privacy-compliance/community/gdpr-audit-prep,WIN,通用
codex,linear,linear,product-growth,exact,yes,linear,WIN,半通用
codex,product-manager,anna-product-manager,product-growth,kw:product-manager,no,anna-product-manager,WIN,通用
codex,sentry,sentry,product-growth,exact,yes,sentry,WIN,半通用
cskills,ai-content-marketing,ai-content-marketing,product-growth,rule:csk-readme,no,ai-content-marketing,WIN,通用
cskills,product-manager,product-manager,product-growth,rule:csk-readme,no,product-manager,WIN,通用
cskills,product-marketing,product-marketing,product-growth,rule:csk-readme,no,product-marketing,WIN,通用
cskills,project-promo-writer,project-promo-writer,product-growth,rule:csk-readme,no,project-promo-writer,WIN,通用
cskills,social-media-ops,social-media-ops,product-growth,rule:csk-readme,no,social-media-ops,WIN,通用
community,code-to-prd,code-to-prd,product-management,rule:community-path,yes,product-management/community/code-to-prd,WIN,通用
community,competitive-teardown,competitive-teardown,product-management,rule:community-path,yes,product-management/community/competitive-teardown,WIN,通用
community,experiment-designer,experiment-designer,product-management,rule:community-path,yes,product-management/community/experiment-designer,WIN,通用
community,product-analytics,product-analytics,product-management,rule:community-path,yes,product-management/community/product-analytics,WIN,通用
community,product-discovery,product-discovery,product-management,rule:community-path,yes,product-management/community/product-discovery,WIN,通用
community,product-strategist,product-strategist,product-management,rule:community-path,yes,product-management/community/product-strategist,WIN,通用
community,research-summarizer,research-summarizer,product-management,rule:community-path,yes,product-management/community/research-summarizer,WIN,通用
community,roadmap-communicator,roadmap-communicator,product-management,rule:community-path,yes,product-management/community/roadmap-communicator,WIN,通用
codex,c-cpp-dev,c-cpp,programming-languages,kw:-cpp,no,c-cpp-dev,WIN,通用
codex,csharp-dotnet-dev,csharp-dotnet,programming-languages,kw:csharp,no,csharp-dotnet-dev,WIN,通用
codex,go-dev,go,programming-languages,kw:go-dev,no,go-dev,WIN,通用
codex,go-dev-2,anna-go,programming-languages,kw:go-dev,no,anna-go-dev,WIN,通用
codex,java-dev,java,programming-languages,kw:java-dev,no,java-dev,WIN,通用
codex,js-ts-dev,javascript-typescript,programming-languages,kw:js-ts,no,js-ts-dev,WIN,通用
codex,js-ts-dev-2,anna-js-ts,programming-languages,kw:js-ts,no,anna-js-ts-dev,WIN,通用
codex,php-dev,php,programming-languages,kw:php-dev,no,php-dev,WIN,通用
codex,python-dev,python,programming-languages,kw:python-dev,no,python-dev,WIN,通用
codex,python-dev-2,anna-python,programming-languages,kw:python-dev,no,anna-python-dev,WIN,通用
codex,ruby-dev,ruby,programming-languages,kw:ruby-dev,no,ruby-dev,WIN,通用
codex,rust-dev,rust,programming-languages,kw:rust-dev,no,rust-dev,WIN,通用
cskills,cpp-development,cpp,programming-languages,rule:csk-readme,no,cpp-development,WIN,通用
cskills,dotnet-development,dotnet,programming-languages,rule:csk-readme,no,dotnet-development,WIN,通用
cskills,elixir-erlang-development,elixir-erlang,programming-languages,rule:csk-readme,no,elixir-erlang-development,WIN,通用
cskills,go-development,go,programming-languages,rule:csk-readme,no,go-development,dup,
cskills,java-jvm-development,java-jvm,programming-languages,rule:csk-readme,no,java-jvm-development,WIN,通用
cskills,javascript-typescript-development,javascript-typescript,programming-languages,rule:csk-readme,no,javascript-typescript-development,dup,
cskills,kotlin-development,kotlin,programming-languages,rule:csk-readme,no,kotlin-development,WIN,通用
cskills,lua-openresty-development,lua-openresty,programming-languages,rule:csk-readme,no,lua-openresty-development,WIN,通用
cskills,php-development,php,programming-languages,rule:csk-readme,no,php-development,dup,
cskills,python-development,python,programming-languages,rule:csk-readme,no,python-development,dup,
cskills,r-development,r,programming-languages,rule:csk-readme,no,r-development,WIN,通用
cskills,ruby-development,ruby,programming-languages,rule:csk-readme,no,ruby-development,dup,
cskills,rust-development,rust,programming-languages,rule:csk-readme,no,rust-development,dup,
cskills,scala-development,scala,programming-languages,rule:csk-readme,no,scala-development,WIN,通用
cskills,shell-scripting,shell-scripting,programming-languages,rule:csk-readme,no,shell-scripting,dup,
cskills,typescript-development,typescript,programming-languages,rule:csk-readme,no,typescript-development,WIN,通用
community,meeting-analyzer,meeting-analyzer,project-management,rule:community-path,yes,project-management/community/meeting-analyzer,WIN,通用
community,scrum-master,scrum-master,project-management,rule:community-path,yes,project-management/community/scrum-master,WIN,通用
community,senior-pm,senior-pm,project-management,rule:community-path,yes,project-management/community/senior-pm,WIN,通用
community,team-communications,team-communications,project-management,rule:community-path,yes,project-management/community/team-communications,WIN,通用
codex,cli-creator,cli-creator,quality-delivery,exact,yes,cli-creator,WIN,通用
codex,code-audit,code-audit,quality-delivery,exact,no,code-audit,WIN,通用
codex,code-audit-2,anna-code-audit,quality-delivery,kw:code-audit,no,anna-code-audit,WIN,通用
codex,code-migration,code-migration,quality-delivery,exact,no,code-migration,WIN,通用
codex,code-simplifier,code-simplifier,quality-delivery,exact,no,code-simplifier,WIN,通用
codex,commit,commit,quality-delivery,exact,no,commit,WIN,通用
codex,devex-tooling,devex-tooling,quality-delivery,exact,no,devex-tooling,WIN,通用
codex,gh-address-comments,gh-address-comments,quality-delivery,exact,yes,gh-address-comments,WIN,通用
codex,gh-fix-ci,gh-fix-ci,quality-delivery,exact,yes,gh-fix-ci,WIN,通用
codex,git-workflow,git-workflow,quality-delivery,exact,no,git-workflow,WIN,通用
codex,git-workflow-2,anna-git-workflow,quality-delivery,kw:git-workflow,no,anna-git-workflow,WIN,通用
codex,low-code,low-code,quality-delivery,kw:low-code,no,low-code,WIN,通用
codex,performance-testing,performance-testing,quality-delivery,kw:test,no,performance-testing,WIN,通用
codex,qa,qa,quality-delivery,exact,yes,qa,WIN,通用
codex,refactor,refactor,quality-delivery,exact,yes,refactor,WIN,通用
codex,test-engineering,anna-test,quality-delivery,kw:test,no,anna-test-engineering,WIN,通用
codex,testing,testing,quality-delivery,exact,no,testing,WIN,通用
codex,tools,tools,quality-delivery,exact,yes,tools,WIN,通用
codex,yeet,yeet,quality-delivery,exact,yes,yeet,WIN,通用
cskills,browser-automation,browser-automation,quality-delivery,rule:csk-readme,no,browser-automation,WIN,通用
cskills,code-audit,code-audit,quality-delivery,rule:csk-readme,no,code-audit,dup,
cskills,git-workflow,git-workflow,quality-delivery,rule:csk-readme,no,git-workflow,dup,
cskills,harmonyos-build-quality,harmonyos-build-quality,quality-delivery,rule:csk-readme,no,harmonyos-build-quality,WIN,通用
cskills,observability,observability,quality-delivery,rule:csk-readme,no,observability,WIN,通用
cskills,perf-engineering,perf,quality-delivery,rule:csk-readme,no,perf-engineering,WIN,通用
cskills,test-engineering,test,quality-delivery,rule:csk-readme,no,test-engineering,WIN,通用
community,capa-officer,capa-officer,quality-management,rule:community-path,yes,quality-management/community/capa-officer,WIN,通用
community,qms-audit-expert,qms-audit-expert,quality-management,rule:community-path,yes,quality-management/community/qms-audit-expert,WIN,通用
community,quality-documentation-manager,quality-documentation-manager,quality-management,rule:community-path,yes,quality-management/community/quality-documentation-manager,WIN,通用
codex,context7,context7,research-knowledge,exact,no,context7,WIN,通用
codex,game-dev,game,research-knowledge,exact,no,game-dev,WIN,通用
codex,research-scientific-research,research-scientific-research,research-knowledge,kw:research,no,research-scientific-research,WIN,通用
codex,search-engine,search-engine,research-knowledge,kw:search-engine,no,search-engine,WIN,通用
codex,web-fetch,web-fetch,research-knowledge,exact,no,web-fetch,WIN,通用
codex,web3-dapp,web3-dapp,research-knowledge,kw:web3,no,web3-dapp,WIN,通用
cskills,academic-writing,academic-writing,research-knowledge,rule:csk-readme,no,academic-writing,WIN,通用
cskills,legal-counsel,legal-counsel,research-knowledge,rule:csk-readme,no,legal-counsel,WIN,通用
cskills,project-learning,project-learning,research-knowledge,rule:csk-readme,no,project-learning,WIN,通用
cskills,research,research,research-knowledge,rule:csk-readme,no,research,WIN,通用
community,clinical-research,clinical-research,research-ops,rule:community-path,yes,research-ops/community/clinical-research,WIN,通用
community,market-research,market-research,research-ops,rule:community-path,yes,research-ops/community/market-research,WIN,通用
community,product-research,product-research,research-ops,rule:community-path,yes,research-ops/community/product-research,WIN,通用
community,revenue-operations,revenue-operations,revenue-operations,rule:community-path,yes,revenue-operations/community/revenue-operations,WIN,通用
codex,android-reversing,android-reversing,reverse-engineering,kw:revers,no,android-reversing,WIN,通用
codex,binary-exploit,binary-exploit,reverse-engineering,kw:binary-exploit,no,binary-exploit,WIN,通用
codex,dotnet-reversing,dotnet-reversing,reverse-engineering,kw:revers,no,dotnet-reversing,WIN,通用
codex,reverse-analysis,reverse-analysis,reverse-engineering,kw:revers,no,reverse-analysis,WIN,通用
codex,reverse-engineering,reverse,reverse-engineering,kw:revers,no,reverse-engineering,WIN,通用
codex,reverse-engineering-2,anna-reverse,reverse-engineering,kw:revers,no,anna-reverse-engineering,WIN,通用
cskills,abirev,abirev,reverse-engineering,rule:csk-readme,no,abirev,WIN,通用
cskills,asmrev,asmrev,reverse-engineering,rule:csk-readme,no,asmrev,WIN,通用
cskills,autorev,autorev,reverse-engineering,rule:csk-readme,no,autorev,WIN,通用
cskills,binrev,binrev,reverse-engineering,rule:csk-readme,no,binrev,WIN,通用
cskills,bootrev,bootrev,reverse-engineering,rule:csk-readme,no,bootrev,WIN,通用
cskills,carrev,carrev,reverse-engineering,rule:csk-readme,no,carrev,WIN,通用
cskills,cloudrev,cloudrev,reverse-engineering,rule:csk-readme,no,cloudrev,WIN,通用
cskills,containerrev,containerrev,reverse-engineering,rule:csk-readme,no,containerrev,WIN,通用
cskills,contractrev,contractrev,reverse-engineering,rule:csk-readme,no,contractrev,WIN,通用
cskills,crashrev,crashrev,reverse-engineering,rule:csk-readme,no,crashrev,WIN,通用
cskills,cryptrev,cryptrev,reverse-engineering,rule:csk-readme,no,cryptrev,WIN,通用
cskills,debugrev,debugrev,reverse-engineering,rule:csk-readme,no,debugrev,WIN,通用
cskills,diffrev,diffrev,reverse-engineering,rule:csk-readme,no,diffrev,WIN,通用
cskills,diskrev,diskrev,reverse-engineering,rule:csk-readme,no,diskrev,WIN,通用
cskills,docrev,docrev,reverse-engineering,rule:csk-readme,no,docrev,WIN,通用
cskills,dotnetrev,dotnetrev,reverse-engineering,rule:csk-readme,no,dotnetrev,WIN,通用
cskills,drmrev,drmrev,reverse-engineering,rule:csk-readme,no,drmrev,WIN,通用
cskills,ebpfrev,ebpfrev,reverse-engineering,rule:csk-readme,no,ebpfrev,WIN,通用
cskills,edrrev,edrrev,reverse-engineering,rule:csk-readme,no,edrrev,WIN,通用
cskills,fmtrev,fmtrev,reverse-engineering,rule:csk-readme,no,fmtrev,WIN,通用
cskills,fuzzrev,fuzzrev,reverse-engineering,rule:csk-readme,no,fuzzrev,WIN,通用
cskills,fwrev,fwrev,reverse-engineering,rule:csk-readme,no,fwrev,WIN,通用
cskills,gamerev,gamerev,reverse-engineering,rule:csk-readme,no,gamerev,WIN,通用
cskills,gorev,gorev,reverse-engineering,rule:csk-readme,no,gorev,WIN,通用
cskills,hvrev,hvrev,reverse-engineering,rule:csk-readme,no,hvrev,WIN,通用
cskills,hwrev,hwrev,reverse-engineering,rule:csk-readme,no,hwrev,WIN,通用
cskills,icsrev,icsrev,reverse-engineering,rule:csk-readme,no,icsrev,WIN,通用
cskills,iotrev,iotrev,reverse-engineering,rule:csk-readme,no,iotrev,WIN,通用
cskills,irrev,irrev,reverse-engineering,rule:csk-readme,no,irrev,WIN,通用
cskills,javarev,javarev,reverse-engineering,rule:csk-readme,no,javarev,WIN,通用
cskills,kernrev,kernrev,reverse-engineering,rule:csk-readme,no,kernrev,WIN,通用
cskills,linuxrev,linuxrev,reverse-engineering,rule:csk-readme,no,linuxrev,WIN,通用
cskills,macrev,macrev,reverse-engineering,rule:csk-readme,no,macrev,WIN,通用
cskills,malrev,malrev,reverse-engineering,rule:csk-readme,no,malrev,WIN,通用
cskills,memrev,memrev,reverse-engineering,rule:csk-readme,no,memrev,WIN,通用
cskills,mitirev,mitirev,reverse-engineering,rule:csk-readme,no,mitirev,WIN,通用
cskills,mlrev,mlrev,reverse-engineering,rule:csk-readme,no,mlrev,WIN,通用
cskills,mobile-reverse-engineering,mobile-reverse,reverse-engineering,rule:csk-readme,no,mobile-reverse-engineering,WIN,通用
cskills,opsecrev,opsecrev,reverse-engineering,rule:csk-readme,no,opsecrev,WIN,通用
cskills,packrev,packrev,reverse-engineering,rule:csk-readme,no,packrev,WIN,通用
cskills,protrev,protrev,reverse-engineering,rule:csk-readme,no,protrev,WIN,通用
cskills,rev-report,rev-report,reverse-engineering,rule:csk-readme,no,rev-report,WIN,通用
cskills,revauto,revauto,reverse-engineering,rule:csk-readme,no,revauto,WIN,通用
cskills,reverse-engineering,reverse,reverse-engineering,rule:csk-readme,no,reverse-engineering,dup,
cskills,revlab,revlab,reverse-engineering,rule:csk-readme,no,revlab,WIN,通用
cskills,rktrev,rktrev,reverse-engineering,rule:csk-readme,no,rktrev,WIN,通用
cskills,rustrev,rustrev,reverse-engineering,rule:csk-readme,no,rustrev,WIN,通用
cskills,scriptrev,scriptrev,reverse-engineering,rule:csk-readme,no,scriptrev,WIN,通用
cskills,sdkrev,sdkrev,reverse-engineering,rule:csk-readme,no,sdkrev,WIN,通用
cskills,sigrev,sigrev,reverse-engineering,rule:csk-readme,no,sigrev,WIN,通用
cskills,supplyrev,supplyrev,reverse-engineering,rule:csk-readme,no,supplyrev,WIN,通用
cskills,swiftrev,swiftrev,reverse-engineering,rule:csk-readme,no,swiftrev,WIN,通用
cskills,ttdrev,ttdrev,reverse-engineering,rule:csk-readme,no,ttdrev,WIN,通用
cskills,vmrev,vmrev,reverse-engineering,rule:csk-readme,no,vmrev,WIN,通用
cskills,vulnrev,vulnrev,reverse-engineering,rule:csk-readme,no,vulnrev,WIN,通用
cskills,wasmrev,wasmrev,reverse-engineering,rule:csk-readme,no,wasmrev,WIN,通用
cskills,webrev,webrev,reverse-engineering,rule:csk-readme,no,webrev,WIN,通用
cskills,winrev,winrev,reverse-engineering,rule:csk-readme,no,winrev,WIN,通用
community,contract-and-proposal-writer,contract-and-proposal-writer,sales-enablement,rule:community-path,yes,sales-enablement/community/contract-and-proposal-writer,WIN,通用
community,sales-engineer,sales-engineer,sales-enablement,rule:community-path,yes,sales-enablement/community/sales-engineer,WIN,通用
community,iso27001-audit-prep,iso27001-audit-prep,security-compliance,rule:community-path,yes,security-compliance/community/iso27001-audit-prep,WIN,通用
community,soc2-audit-prep,soc2-audit-prep,security-compliance,rule:community-path,yes,security-compliance/community/soc2-audit-prep,WIN,通用
codex,ad-pentest,ad-pentest,security-engineering,kw:pentest,no,ad-pentest,WIN,通用
codex,api-security-test,api-security-test,security-engineering,kw:api-security,no,api-security-test,WIN,通用
codex,authorized-assessment,coff0xc-authorized-assessment,security-engineering,exact,yes,coff0xc-authorized-assessment,WIN,通用
codex,backdoor-detector,backdoor-detector,security-engineering,kw:backdoor,no,backdoor-detector,WIN,通用
codex,binary-mobile-iot,coff0xc-binary-mobile-iot,security-engineering,exact,yes,coff0xc-binary-mobile-iot,WIN,通用
codex,blockchain-security,blockchain-security,security-engineering,kw:security,no,blockchain-security,WIN,通用
codex,blockchain-security-2,coff0xc-blockchain-security,security-engineering,exact,yes,coff0xc-blockchain-security,WIN,通用
codex,browser-security,browser-security,security-engineering,kw:security,no,browser-security,WIN,通用
codex,bug-bounty,bug-bounty,security-engineering,kw:bug-bounty,no,bug-bounty,WIN,通用
codex,c2-framework,c2-framework,security-engineering,kw:c2,no,c2-framework,WIN,通用
codex,cdn-bypass,cdn-bypass,security-engineering,kw:cdn-bypass,no,cdn-bypass,WIN,通用
codex,cloud-devsecops,coff0xc-cloud-devsecops,security-engineering,exact,yes,coff0xc-cloud-devsecops,WIN,通用
codex,cloud-security,cloud-security,security-engineering,kw:security,no,cloud-security,WIN,通用
codex,compliance-architecture,coff0xc-compliance-architecture,security-engineering,exact,yes,coff0xc-compliance-architecture,WIN,通用
codex,compliance-audit,compliance-audit,security-engineering,kw:compliance,no,compliance-audit,WIN,通用
codex,container-security,container-security,security-engineering,kw:security,no,container-security,WIN,通用
codex,credential-access,credential-access,security-engineering,kw:credential,no,credential-access,WIN,通用
codex,crypto-security,crypto-security,security-engineering,kw:crypto-security,no,crypto-security,WIN,通用
codex,ctf,ctf,security-engineering,kw:ctf,no,ctf,WIN,通用
codex,data-exfiltration,data-exfiltration,security-engineering,kw:data-exfil,no,data-exfiltration,WIN,通用
codex,data-security,data-security,security-engineering,kw:security,no,data-security,WIN,通用
codex,detection-engineering,detection,security-engineering,kw:detection,no,detection-engineering,WIN,通用
codex,detection-response,coff0xc-detection-response,security-engineering,exact,yes,coff0xc-detection-response,WIN,通用
codex,devsecops,devsecops,security-engineering,kw:devsecops,no,devsecops,WIN,通用
codex,edr-endpoint,edr-endpoint,security-engineering,kw:edr,no,edr-endpoint,WIN,通用
codex,email-security,email-security,security-engineering,kw:email-security,no,email-security,WIN,通用
codex,evasion-toolkit,evasion-toolkit,security-engineering,kw:evasion,no,evasion-toolkit,WIN,通用
codex,fingerprint-engine,fingerprint-engine,security-engineering,exact,no,fingerprint-engine,WIN,通用
codex,forensics-analysis,forensics-analysis,security-engineering,kw:forensic,no,forensics-analysis,WIN,通用
codex,full-pentest,full-pentest,security-engineering,kw:pentest,no,full-pentest,WIN,通用
codex,graphql-pentest,graphql-pentest,security-engineering,kw:pentest,no,graphql-pentest,WIN,通用
codex,honeypot,honeypot,security-engineering,kw:honeypot,no,honeypot,WIN,通用
codex,iac-devops,iac-devops,security-engineering,kw:iac-devops,no,iac-devops,WIN,通用
codex,ics-scada,ics-scada,security-engineering,kw:ics-scada,no,ics-scada,WIN,通用
codex,identity-security,identity-security,security-engineering,kw:security,no,identity-security,WIN,通用
codex,identity-zero-trust,coff0xc-identity-zero-trust,security-engineering,exact,yes,coff0xc-identity-zero-trust,WIN,通用
codex,incident-response,incident-response,security-engineering,kw:incident,no,incident-response,WIN,通用
codex,iot-security,iot-security,security-engineering,kw:iot-security,no,iot-security,WIN,通用
codex,kernel-security,kernel-security,security-engineering,kw:kernel-security,no,kernel-security,WIN,通用
codex,lateral-movement,lateral-movement,security-engineering,kw:lateral,no,lateral-movement,WIN,通用
codex,linux-hardening,linux-hardening,security-engineering,kw:linux-hardening,no,linux-hardening,WIN,通用
codex,llm-red-teaming,llm-red-teaming,security-engineering,kw:red-team,no,llm-red-teaming,WIN,通用
codex,malware-analysis,malware-analysis,security-engineering,kw:malware,no,malware-analysis,WIN,通用
codex,mobile-security,mobile-security,security-engineering,kw:security,no,mobile-security,WIN,通用
codex,mobile-security-2,anna-mobile-security,security-engineering,kw:security,no,anna-mobile-security,WIN,通用
codex,network-monitoring,network-monitoring,security-engineering,kw:network-monitoring,no,network-monitoring,WIN,通用
codex,network-protocol,network-protocol,security-engineering,kw:network-protocol,no,network-protocol,WIN,通用
codex,network-protocol-security,coff0xc-network-protocol-security,security-engineering,exact,yes,coff0xc-network-protocol-security,WIN,通用
codex,oauth-security,oauth-security,security-engineering,kw:oauth-security,no,oauth-security,WIN,通用
codex,osint,osint,security-engineering,kw:osint,no,osint,WIN,通用
codex,pentest-report,pentest-report,security-engineering,kw:pentest,no,pentest-report,WIN,通用
codex,phishing-simulation,phishing-simulation,security-engineering,kw:phishing,no,phishing-simulation,WIN,通用
codex,post-exploitation,post-exploitation,security-engineering,kw:exploit,no,post-exploitation,WIN,通用
codex,privacy-engineering,privacy,security-engineering,kw:privacy,no,privacy-engineering,WIN,通用
codex,privilege-escalation,privilege-escalation,security-engineering,kw:privilege,no,privilege-escalation,WIN,通用
codex,proxy-pool-manager,proxy-pool-manager,security-engineering,exact,no,proxy-pool-manager,WIN,通用
codex,purple-deception,coff0xc-purple-deception,security-engineering,exact,yes,coff0xc-purple-deception,WIN,通用
codex,purple-team,purple-team,security-engineering,kw:purple,no,purple-team,WIN,通用
codex,quantum-security,quantum-security,security-engineering,kw:security,no,quantum-security,WIN,通用
codex,recon-workflow,recon-workflow,security-engineering,kw:recon,no,recon-workflow,WIN,通用
codex,red-team-infra,red-team-infra,security-engineering,kw:red-team,no,red-team-infra,WIN,通用
codex,red-team-poc,red-team-poc,security-engineering,kw:red-team,no,red-team-poc,WIN,通用
codex,secrets-management,secrets-management,security-engineering,kw:secrets-manage,no,secrets-management,WIN,通用
codex,secure-code-appsec,coff0xc-secure-code-appsec,security-engineering,exact,yes,coff0xc-secure-code-appsec,WIN,通用
codex,security-architecture,security-architecture,security-engineering,kw:security,no,security-architecture,WIN,通用
codex,security-best-practices,security-best-practices,security-engineering,kw:security,yes,security-best-practices,WIN,通用
codex,security-ownership-map,security-ownership-map,security-engineering,kw:security,yes,security-ownership-map,WIN,通用
codex,security-threat-model,security-threat-model,security-engineering,kw:threat,yes,security-threat-model,WIN,通用
codex,security-tool-dev,security-tool,security-engineering,kw:security,no,security-tool-dev,WIN,通用
codex,serverless-security,serverless-security,security-engineering,kw:security,no,serverless-security,WIN,通用
codex,soc-operations,soc-operations,security-engineering,kw:soc,no,soc-operations,WIN,通用
codex,social-engineering,social,security-engineering,kw:soc,no,social-engineering,WIN,通用
codex,spa-pentest,spa-pentest,security-engineering,kw:pentest,no,spa-pentest,WIN,通用
codex,supply-chain-security,supply-chain-security,security-engineering,kw:supply-chain,no,supply-chain-security,WIN,通用
codex,threat-hunting,threat-hunting,security-engineering,kw:threat,no,threat-hunting,WIN,通用
codex,threat-intelligence,threat-intelligence,security-engineering,kw:threat,no,threat-intelligence,WIN,通用
codex,vuln-research,vuln-research,security-engineering,kw:vuln,no,vuln-research,WIN,通用
codex,vulnerability-lifecycle,coff0xc-vulnerability-lifecycle,security-engineering,exact,yes,coff0xc-vulnerability-lifecycle,WIN,通用
codex,vulnerability-management,vulnerability-management,security-engineering,kw:vuln,no,vulnerability-management,WIN,通用
codex,web-pentest,web-pentest,security-engineering,kw:pentest,no,web-pentest,WIN,通用
codex,windows-hardening,windows-hardening,security-engineering,kw:windows-hardening,no,windows-hardening,WIN,通用
codex,wireless-security,wireless-security,security-engineering,kw:wireless,no,wireless-security,WIN,通用
codex,zero-trust,zero-trust,security-engineering,kw:zero-trust,no,zero-trust,WIN,通用
cskills,devsecops,devsecops,security-engineering,rule:csk-readme,no,devsecops,dup,
cskills,mobile-security,mobile-security,security-engineering,rule:csk-readme,no,mobile-security,dup,
cskills,protocol-analysis,protocol-analysis,security-engineering,rule:csk-readme,no,protocol-analysis,WIN,通用
cskills,web-security,web-security,security-engineering,rule:csk-readme,no,web-security,WIN,通用
community,programmatic-seo,programmatic-seo,seo,rule:community-path,yes,seo/community/programmatic-seo,WIN,通用
community,schema-markup,schema-markup,seo,rule:community-path,yes,seo/community/schema-markup,WIN,通用
community,seo-audit,seo-audit,seo,rule:community-path,yes,seo/community/seo-audit,WIN,通用
community,site-architecture,site-architecture,seo,rule:community-path,yes,seo/community/site-architecture,WIN,通用
community,social-content,social-content,social-media,rule:community-path,yes,social-media/community/social-content,WIN,通用
community,social-media-analyzer,social-media-analyzer,social-media,rule:community-path,yes,social-media/community/social-media-analyzer,WIN,通用
community,social-media-manager,social-media-manager,social-media,rule:community-path,yes,social-media/community/social-media-manager,WIN,通用
